text,reading,rank
視界,しかい,1493
限界,げんかい,1495
作戦,さくせん,1496
右手,みぎて,1505
女子,じょし,1506
馬鹿,ばか,1510
適当,てきとう,1511
一言,ひとこと,1514
心臓,しんぞう,1515
空間,くうかん,1521
味方,みかた,1527
両親,りょうしん,1530
荷物,にもつ,1532
警戒,けいかい,1535
興奮,こうふん,1542
指示,しじ,1545
随分,ずいぶん,1555
警察,けいさつ,1563
冷静,れいせい,1567
衝撃,しょうげき,1572
多少,たしょう,1575
同士,どうし,1576
恋人,こいびと,1579
病院,びょういん,1582
開始,かいし,1586
提案,ていあん,1593
一本,いっぽん,1595
真実,しんじつ,1599
研究,けんきゅう,1600
回復,かいふく,1608
知識,ちしき,1610
抵抗,ていこう,1612
犯人,はんにん,1614
文字,もじ,1620
苦手,にがて,1621
解放,かいほう,1623
見事,みごと,1628
破壊,はかい,1635
今夜,こんや,1638
単純,たんじゅん,1641
中身,なかみ,1643
完璧,かんぺき,1648
全力,ぜんりょく,1650
無言,むごん,1651
技術,ぎじゅつ,1655
大量,たいりょう,1658
沈黙,ちんもく,1659
感触,かんしょく,1660
思考,しこう,1661
会社,かいしゃ,1667
趣味,しゅみ,1670
何者,なにもの,1675
異常,いじょう,1679
中央,ちゅうおう,1680
正体,しょうたい,1682
戦争,せんそう,1684
左右,さゆう,1687
授業,じゅぎょう,1693
天井,てんじょう,1706
確信,かくしん,1713
悲鳴,ひめい,1717
話題,わだい,1720
認識,にんしき,1721
制服,せいふく,1730
許可,きょか,1734
人形,にんぎょう,1740
二十,はたち,1744
了解,りょうかい,1745
発言,はつげん,1746
手段,しゅだん,1750
最悪,さいあく,1751
誤解,ごかい,1754
告白,こくはく,1758
呼吸,こきゅう,1765
同様,どうよう,1769
自覚,じかく,1773
爆発,ばくはつ,1777
動揺,どうよう,1778
自体,じたい,1783
精神,せいしん,1789
文句,もんく,1792
時点,じてん,1794
発生,はっせい,1795
掃除,そうじ,1804
道具,どうぐ,1808
現場,げんば,1809
歴史,れきし,1811
依頼,いらい,1812
足音,あしおと,1813
一枚,いちまい,1818
第二,だいに,1820
大学,だいがく,1835
素敵,すてき,1839
微妙,びみょう,1842
担当,たんとう,1843
怪我,けが,1845
三十,さんじゅう,1850
直後,ちょくご,1851
調査,ちょうさ,1852
今年,ことし,1853
応援,おうえん,1854
使用,しよう,1855
早速,さっそく,1857
玄関,げんかん,1858
予感,よかん,1860
片手,かたて,1862
速度,そくど,1864
刺激,しげき,1868
物語,ものがたり,1869
男子,だんし,1870
印象,いんしょう,1877
意志,いし,1883
勝利,しょうり,1887
意思,いし,1888
太陽,たいよう,1892
大体,だいたい,1895
才能,さいのう,1896
選択,せんたく,1900
東京,とうきょう,1905
真似,まね,1909
左手,ひだりて,1911
部下,ぶか,1915
優秀,ゆうしゅう,1931
証明,しょうめい,1942
支配,しはい,1943
感心,かんしん,1946
姿勢,しせい,1947
先日,せんじつ,1948
土地,とち,1950
神様,かみさま,1951
地下,ちか,1954
承知,しょうち,1955
年齢,ねんれい,1958
事故,じこ,1961
訓練,くんれん,1963
学生,がくせい,1964
用事,ようじ,1965
一年,いちねん,1966
組織,そしき,1968
地上,ちじょう,1969
把握,はあく,1981
勇気,ゆうき,1991
表現,ひょうげん,1994
記録,きろく,1997
宣言,せんげん,2004
体力,たいりょく,2005
絶望,ぜつぼう,2006
強引,ごういん,2014
平和,へいわ,2016
数日,すうじつ,2019
決意,けつい,2023
観察,かんさつ,2027
丁寧,ていねい,2044
下手,へた,2048
永遠,えいえん,2049
評価,ひょうか,2050
景色,けしき,2051
美人,びじん,2057
地獄,じごく,2059
翌日,よくじつ,2063
動物,どうぶつ,2066
隙間,すきま,2067
油断,ゆだん,2069
特殊,とくしゅ,2081
主人,しゅじん,2082
目標,もくひょう,2084
教師,きょうし,2088
派手,はで,2095
本日,ほんじつ,2099
実力,じつりょく,2102
次第,しだい,2104
役目,やくめ,2111
自慢,じまん,2113
要求,ようきゅう,2116
高校,こうこう,2117
範囲,はんい,2121
顔色,かおいろ,2126
音楽,おんがく,2127
映画,えいが,2128
今朝,けさ,2131
環境,かんきょう,2137
主張,しゅちょう,2138
奇妙,きみょう,2141
正解,せいかい,2142
慎重,しんちょう,2147
大勢,おおぜい,2150
終了,しゅうりょう,2158
出発,しゅっぱつ,2163
機能,きのう,2164
管理,かんり,2167
純粋,じゅんすい,2169
卒業,そつぎょう,2172
契約,けいやく,2173
作品,さくひん,2176
夕方,ゆうがた,2182
確保,かくほ,2184
現状,げんじょう,2186
足元,あしもと,2193
社会,しゃかい,2199
感動,かんどう,2200
不幸,ふこう,2215
具合,ぐあい,2221
舞台,ぶたい,2225
教育,きょういく,2226
機械,きかい,2230
最低,さいてい,2237
発表,はっぴょう,2238
施設,しせつ,2239
恋愛,れんあい,2240
集団,しゅうだん,2244
夫婦,ふうふ,2247
指摘,してき,2254
監視,かんし,2260
男女,だんじょ,2267
最中,さいちゅう,2269
交渉,こうしょう,2270
内部,ないぶ,2271
実家,じっか,2274
説得,せっとく,2275
会場,かいじょう,2276
結論,けつろん,2279
被害,ひがい,2280
書類,しょるい,2285
個人,こじん,2295
代表,だいひょう,2296
治療,ちりょう,2298
直前,ちょくぜん,2299
操作,そうさ,2302
感想,かんそう,2307
容赦,ようしゃ,2315
映像,えいぞう,2323
会議,かいぎ,2325
去年,きょねん,2327
夢中,むちゅう,2328
反省,はんせい,2330
資料,しりょう,2334
正面,しょうめん,2336
厄介,やっかい,2338
時計,とけい,2341
休憩,きゅうけい,2357
段階,だんかい,2360
登場,とうじょう,2364
周辺,しゅうへん,2366
人数,にんずう,2368
設定,せってい,2372
一回,いっかい,2373
侵入,しんにゅう,2375
世間,せけん,2376
仕方,しかた,2377
都合,つごう,2382
処理,しょり,2388
内側,うちがわ,2391
年間,ねんかん,2395
奇跡,きせき,2396
医者,いしゃ,2399
強力,きょうりょく,2401
一時,いちじ,2402
接触,せっしょく,2404
屋根,やね,2406
同意,どうい,2410
実感,じっかん,2413
公園,こうえん,2414
計算,けいさん,2418
大声,おおごえ,2420
乱暴,らんぼう,2421
基本,きほん,2423
三日,みっか,2428
何年,なんねん,2432
強化,きょうか,2433
謝罪,しゃざい,2435
材料,ざいりょう,2440
常識,じょうしき,2444
権利,けんり,2445
昼間,ひるま,2446
合図,あいず,2447
意図,いと,2453
運動,うんどう,2457
正式,せいしき,2461
何人,なんにん,2464
以下,いか,2468
貴重,きちょう,2469
通常,つうじょう,2471
禁止,きんし,2473
実験,じっけん,2474
連続,れんぞく,2479
注文,ちゅうもん,2486
同情,どうじょう,2493
尊敬,そんけい,2497
復活,ふっかつ,2498
上手,じょうず,2499
手足,てあし,2508
野菜,やさい,2509
整理,せいり,2513
日常,にちじょう,2514
放置,ほうち,2519
対策,たいさく,2520
複数,ふくすう,2526
若者,わかもの,2530
嫉妬,しっと,2532
理想,りそう,2535
手前,てまえ,2536
優先,ゆうせん,2537
活躍,かつやく,2539
発揮,はっき,2541
半年,はんとし,2542
交換,こうかん,2545
開発,かいはつ,2550
拍手,はくしゅ,2552
気味,きみ,2559
犠牲,ぎせい,2561
資格,しかく,2566
維持,いじ,2575
案外,あんがい,2577
散歩,さんぽ,2578
注目,ちゅうもく,2579
両方,りょうほう,2583
便利,べんり,2584
一般,いっぱん,2593
前後,ぜんご,2595
以降,いこう,2601
兄弟,きょうだい,2604
